sample_id,cifar10_split,dataset_index,class_id,class_name
0,train,8185,0,airplane
1,train,13123,6,frog
2,train,42539,1,automobile
3,train,37826,1,automobile
4,train,23761,3,cat
5,train,19588,6,frog
6,train,7212,0,airplane
7,train,9345,3,cat
8,train,3801,3,cat
9,train,24015,5,dog
10,train,35697,3,cat
11,train,26558,3,cat
12,train,16892,0,airplane
13,train,49705,1,automobile
14,train,33694,0,airplane
15,train,48935,5,dog
16,train,21149,1,automobile
17,train,47772,1,automobile
18,train,29562,5,dog
19,train,18649,1,automobile
20,train,46612,6,frog
21,train,41871,3,cat
22,train,41398,1,automobile
23,train,40958,1,automobile
24,train,12687,5,dog
25,train,22850,3,cat
26,train,1097,0,airplane
27,train,15798,5,dog
28,train,42548,3,cat
29,train,24497,6,frog
30,train,15436,0,airplane
31,train,4284,6,frog
32,train,47006,6,frog
33,train,31784,6,frog
34,train,30975,3,cat
35,train,23232,1,automobile
36,train,15402,6,frog
37,train,1655,3,cat
38,train,16755,1,automobile
39,train,35264,1,automobile
40,train,22899,1,automobile
41,train,466,1,automobile
42,train,14246,5,dog
43,train,38974,1,automobile
44,train,41372,3,cat
45,train,31348,1,automobile
46,train,11760,3,cat
47,train,18288,5,dog
48,train,24252,0,airplane
49,train,24581,0,airplane
50,train,919,5,dog
51,train,41739,1,automobile
52,train,8763,6,frog
53,train,47049,3,cat
54,train,7590,5,dog
55,train,45889,6,frog
56,train,23162,5,dog
57,train,36482,0,airplane
58,train,17305,5,dog
59,train,23067,5,dog
60,train,16928,3,cat
61,train,34374,5,dog
62,train,45947,3,cat
63,train,20255,3,cat
64,train,47962,6,frog
65,train,23061,0,airplane
66,train,9241,6,frog
67,train,49082,6,frog
68,train,24726,3,cat
69,train,11491,5,dog
70,train,30914,0,airplane
71,train,40922,3,cat
72,train,45242,0,airplane
73,train,43020,1,automobile
74,train,27385,6,frog
75,train,4132,1,automobile
76,train,31200,5,dog
77,train,47289,5,dog
78,train,663,0,airplane
79,train,29244,0,airplane
80,train,4463,5,dog
81,train,989,0,airplane
82,train,35012,1,automobile
83,train,36396,6,frog
84,train,41879,0,airplane
85,train,41622,6,frog
86,train,20271,3,cat
87,train,44004,1,automobile
88,train,31833,5,dog
89,train,13030,0,airplane
90,train,41900,0,airplane
91,train,24863,1,automobile
92,train,41141,5,dog
93,train,12246,5,dog
94,train,43289,0,airplane
95,train,33611,1,automobile
96,train,12933,6,frog
97,train,12256,5,dog
98,train,39558,5,dog
99,train,9322,1,automobile
100,train,45026,3,cat
101,train,34965,6,frog
102,train,5796,6,frog
103,train,40423,1,automobile
104,train,30112,5,dog
105,train,27084,1,automobile
106,train,41025,5,dog
107,train,27658,3,cat
108,train,6370,0,airplane
109,train,2398,5,dog
110,train,1651,1,automobile
111,train,30856,1,automobile
112,train,3962,0,airplane
113,train,11016,5,dog
114,train,21079,6,frog
115,train,14966,1,automobile
116,train,13331,6,frog
117,train,1408,1,automobile
118,train,48186,3,cat
119,train,44680,0,airplane
120,train,32919,5,dog
121,train,4234,6,frog
122,train,49343,6,frog
123,train,37921,5,dog
124,train,29307,0,airplane
125,train,4876,3,cat
126,train,25835,6,frog
127,train,4162,0,airplane
128,train,6060,3,cat
129,train,40823,6,frog
130,train,34505,6,frog
131,train,44508,0,airplane
132,train,44662,0,airplane
133,train,43609,1,automobile
134,train,1298,5,dog
135,train,30039,1,automobile
136,train,29247,3,cat
137,train,38932,3,cat
138,train,8928,5,dog
139,train,41639,3,cat
140,train,5666,1,automobile
141,train,49131,3,cat
142,train,26632,0,airplane
143,train,37702,1,automobile
144,train,21270,1,automobile
145,train,43912,6,frog
146,train,20548,6,frog
147,train,41645,6,frog
148,train,20093,6,frog
149,train,17191,6,frog
150,train,45202,1,automobile
151,train,5233,5,dog
152,train,24109,1,automobile
153,train,39226,6,frog
154,train,43442,0,airplane
155,train,43613,5,dog
156,train,25844,6,frog
157,train,21831,6,frog
158,train,42927,1,automobile
159,train,23253,3,cat
160,train,25966,6,frog
161,train,20546,1,automobile
162,train,41677,0,airplane
163,train,25950,3,cat
164,train,11910,1,automobile
165,train,18478,5,dog
166,train,6619,3,cat
167,train,42541,3,cat
168,train,40114,5,dog
169,train,15577,1,automobile
170,train,38403,5,dog
171,train,48842,0,airplane
172,train,44031,0,airplane
173,train,8578,0,airplane
174,train,42736,3,cat
175,train,7998,0,airplane
176,train,25750,1,automobile
177,train,3609,0,airplane
178,train,22557,0,airplane
179,train,35357,1,automobile
180,train,4546,6,frog
181,train,3724,6,frog
182,train,38266,1,automobile
183,train,27094,5,dog
184,train,22257,0,airplane
185,train,12045,3,cat
186,train,4524,0,airplane
187,train,28726,5,dog
188,train,49280,3,cat
189,train,25953,3,cat
190,train,40394,1,automobile
191,train,31957,1,automobile
192,train,47752,6,frog
193,train,33393,3,cat
194,train,26503,5,dog
195,train,36195,0,airplane
196,train,31447,6,frog
197,train,5000,6,frog
198,train,37434,5,dog
199,train,37130,0,airplane
200,train,6184,5,dog
201,train,42637,1,automobile
202,train,12931,5,dog
203,train,7392,6,frog
204,train,43504,0,airplane
205,train,46342,6,frog
206,train,29288,1,automobile
207,train,21127,5,dog
208,train,4609,1,automobile
209,train,5010,0,airplane
210,train,35026,3,cat
211,train,8877,6,frog
212,train,27502,0,airplane
213,train,44781,5,dog
214,train,48246,0,airplane
