k,cluster,size,fraction,airplane,automobile,frog,cat,dog
2,0,1884,0.628,164,115,524,531,550
2,1,1116,0.372,436,485,76,69,50
3,0,941,0.31366666666666665,68,17,133,333,390
3,1,1268,0.4226666666666667,144,248,452,234,190
3,2,791,0.26366666666666666,388,335,15,33,20
4,0,649,0.21633333333333332,341,266,9,17,16
4,1,830,0.27666666666666667,46,10,94,306,374
4,2,754,0.25133333333333335,99,146,260,132,117
4,3,767,0.25566666666666665,114,178,237,145,93
5,0,781,0.26033333333333336,43,10,83,297,348
5,1,716,0.23866666666666667,88,121,252,135,120
5,2,634,0.21133333333333335,75,116,243,104,96
5,3,434,0.14466666666666667,146,193,17,51,27
5,4,435,0.145,248,160,5,13,9
6,0,354,0.118,225,115,3,7,4
6,1,422,0.14066666666666666,147,185,16,48,26
6,2,483,0.161,14,4,40,176,249
6,3,519,0.173,61,132,213,61,52
6,4,677,0.22566666666666665,78,11,145,238,205
6,5,545,0.18166666666666667,75,153,183,70,64
7,0,360,0.12,122,159,12,42,25
7,1,570,0.19,52,9,95,223,191
7,2,356,0.11866666666666667,8,4,28,121,195
7,3,579,0.193,81,141,205,82,70
7,4,281,0.09366666666666666,48,148,44,25,16
7,5,355,0.11833333333333333,224,119,3,6,3
7,6,499,0.16633333333333333,65,20,213,101,100
8,0,300,0.1,196,96,2,5,1
8,1,332,0.11066666666666666,127,147,8,32,18
8,2,438,0.146,23,4,25,175,211
8,3,527,0.17566666666666667,63,10,182,135,137
8,4,493,0.16433333333333333,48,31,205,120,89
8,5,273,0.091,47,139,55,21,11
8,6,338,0.11266666666666666,85,152,47,30,24
8,7,299,0.09966666666666667,11,21,76,82,109
9,0,361,0.12033333333333333,47,19,195,57,43
9,1,514,0.17133333333333334,50,10,65,194,195
9,2,291,0.097,191,93,2,4,1
9,3,227,0.07566666666666666,6,1,9,94,117
9,4,302,0.10066666666666667,84,142,26,24,26
9,5,256,0.08533333333333333,58,148,25,19,6
9,6,298,0.09933333333333333,107,125,9,36,21
9,7,449,0.14966666666666667,50,46,202,87,64
9,8,302,0.10066666666666667,7,16,67,85,127
10,0,196,0.06533333333333333,22,138,24,7,5
10,1,292,0.09733333333333333,47,119,70,28,28
10,2,344,0.11466666666666667,51,12,170,66,45
10,3,235,0.07833333333333334,109,68,13,25,20
10,4,273,0.091,9,21,62,80,101
10,5,277,0.09233333333333334,8,1,13,113,142
10,6,373,0.12433333333333334,39,37,164,81,52
10,7,479,0.15966666666666668,39,12,71,166,191
10,8,322,0.10733333333333334,131,130,13,32,16
10,9,209,0.06966666666666667,145,62,0,2,0
11,0,239,0.07966666666666666,7,1,11,96,124
11,1,195,0.065,108,40,9,18,20
11,2,314,0.10466666666666667,117,142,10,29,16
11,3,362,0.12066666666666667,32,52,161,69,48
11,4,315,0.105,52,16,171,47,29
11,5,223,0.07433333333333333,43,129,22,17,12
11,6,162,0.054,13,124,16,5,4
11,7,202,0.06733333333333333,140,60,0,2,0
11,8,370,0.12333333333333334,32,6,41,139,152
11,9,274,0.09133333333333334,9,20,66,80,99
11,10,344,0.11466666666666667,47,10,93,98,96
12,0,251,0.08366666666666667,103,41,32,39,36
12,1,304,0.10133333333333333,37,8,82,88,89
12,2,199,0.06633333333333333,9,0,8,94,88
12,3,268,0.08933333333333333,4,3,56,63,142
12,4,223,0.07433333333333333,141,78,0,3,1
12,5,269,0.08966666666666667,147,102,3,11,6
12,6,312,0.104,32,5,30,119,126
12,7,333,0.111,28,38,160,68,39
12,8,160,0.05333333333333334,17,124,13,3,3
12,9,185,0.06166666666666667,9,121,31,13,11
12,10,198,0.066,26,66,23,50,33
12,11,298,0.09933333333333333,47,14,162,49,26
