k,cluster,size,fraction,airplane,automobile,frog,cat,dog
2,0,215,0.07166666666666667,67,62,22,43,21
2,1,2785,0.9283333333333333,533,538,578,557,579
3,0,993,0.331,45,58,327,288,275
3,1,1814,0.6046666666666667,491,488,257,272,306
3,2,193,0.06433333333333334,64,54,16,40,19
4,0,1594,0.5313333333333333,238,415,306,305,330
4,1,191,0.06366666666666666,63,53,16,40,19
4,2,420,0.14,267,96,10,23,24
4,3,795,0.265,32,36,268,232,227
5,0,613,0.20433333333333334,41,49,281,127,115
5,1,386,0.12866666666666668,252,83,8,22,21
5,2,548,0.18266666666666667,25,24,149,179,171
5,3,1276,0.42533333333333334,223,398,147,234,274
5,4,177,0.059,59,46,15,38,19
6,0,375,0.125,248,79,8,20,20
6,1,518,0.17266666666666666,31,39,233,115,100
6,2,529,0.17633333333333334,26,25,142,167,169
6,3,1251,0.417,198,365,182,228,278
6,4,74,0.024666666666666667,38,9,3,18,6
6,5,253,0.08433333333333333,59,83,32,52,27
7,0,180,0.06,128,37,1,10,4
7,1,1233,0.411,183,367,183,225,275
7,2,249,0.083,58,82,31,51,27
7,3,74,0.024666666666666667,38,9,3,18,6
7,4,219,0.073,136,42,7,15,19
7,5,517,0.17233333333333334,31,38,233,115,100
7,6,528,0.176,26,25,142,166,169
8,0,73,0.024333333333333332,37,9,3,18,6
8,1,512,0.17066666666666666,23,25,136,161,167
8,2,208,0.06933333333333333,131,43,6,11,17
8,3,1056,0.352,169,332,106,212,237
8,4,229,0.07633333333333334,57,76,30,41,25
8,5,334,0.11133333333333334,21,23,132,88,70
8,6,170,0.056666666666666664,122,33,1,10,4
8,7,418,0.13933333333333334,40,59,186,59,74
9,0,396,0.132,38,50,181,55,72
9,1,832,0.2773333333333333,172,276,64,147,173
9,2,62,0.020666666666666667,32,5,3,16,6
9,3,179,0.059666666666666666,119,32,6,10,12
9,4,211,0.07033333333333333,52,71,27,37,24
9,5,364,0.12133333333333333,19,12,100,115,118
9,6,178,0.059333333333333335,123,36,1,11,7
9,7,452,0.15066666666666667,24,93,92,128,115
9,8,326,0.10866666666666666,21,25,126,81,73
10,0,375,0.125,16,53,87,118,101
10,1,530,0.17666666666666667,96,146,45,106,137
10,2,163,0.05433333333333333,119,29,1,9,5
10,3,152,0.050666666666666665,106,26,3,9,8
10,4,61,0.02033333333333333,31,5,3,16,6
10,5,180,0.06,41,64,24,32,19
10,6,319,0.10633333333333334,18,10,89,100,102
10,7,320,0.10666666666666667,19,23,127,80,71
10,8,356,0.11866666666666667,29,40,170,49,68
10,9,544,0.18133333333333335,125,204,51,81,83
11,0,487,0.16233333333333333,90,143,38,98,118
11,1,377,0.12566666666666668,33,45,176,52,71
11,2,176,0.058666666666666666,40,63,23,32,18
11,3,128,0.042666666666666665,92,16,3,8,9
11,4,290,0.09666666666666666,13,29,72,88,88
11,5,211,0.07033333333333333,85,67,15,21,23
11,6,61,0.02033333333333333,31,5,3,16,6
11,7,463,0.15433333333333332,59,166,54,93,91
11,8,325,0.10833333333333334,18,10,90,105,102
11,9,316,0.10533333333333333,19,23,125,79,70
11,10,166,0.05533333333333333,120,33,1,8,4
12,0,310,0.10333333333333333,19,22,122,77,70
12,1,201,0.067,49,65,16,46,25
12,2,164,0.05466666666666667,119,32,1,8,4
12,3,350,0.11666666666666667,40,137,37,66,70
12,4,307,0.10233333333333333,19,10,85,97,96
12,5,228,0.076,88,73,19,26,22
12,6,60,0.02,30,5,3,16,6
12,7,120,0.04,88,16,3,5,8
12,8,276,0.092,11,20,76,84,85
12,9,359,0.11966666666666667,30,39,169,53,68
12,10,518,0.17266666666666666,78,146,52,106,136
12,11,107,0.035666666666666666,29,35,17,16,10
