k,cluster,size,fraction,airplane,automobile,frog,cat,dog
2,0,1210,0.4033333333333333,452,223,141,209,185
2,1,1790,0.5966666666666667,148,377,459,391,415
3,0,1100,0.36666666666666664,69,205,316,247,263
3,1,618,0.206,284,109,67,88,70
3,2,1282,0.42733333333333334,247,286,217,265,267
4,0,834,0.278,89,97,173,198,277
4,1,683,0.22766666666666666,188,225,83,113,74
4,2,926,0.30866666666666664,66,184,280,204,192
4,3,557,0.18566666666666667,257,94,64,85,57
5,0,712,0.23733333333333334,45,130,218,161,158
5,1,396,0.132,191,52,52,57,44
5,2,698,0.23266666666666666,85,79,120,172,242
5,3,706,0.23533333333333334,88,201,173,134,110
5,4,488,0.16266666666666665,191,138,37,76,46
6,0,502,0.16733333333333333,131,48,76,124,123
6,1,719,0.23966666666666667,89,198,180,141,111
6,2,544,0.18133333333333335,40,111,174,117,102
6,3,388,0.12933333333333333,156,126,25,46,35
6,4,536,0.17866666666666667,25,69,109,131,202
6,5,311,0.10366666666666667,159,48,36,41,27
7,0,315,0.105,143,103,13,31,25
7,1,606,0.202,84,182,134,116,90
7,2,451,0.15033333333333335,128,59,86,100,78
7,3,284,0.09466666666666666,154,39,27,36,28
7,4,555,0.185,36,101,175,128,115
7,5,456,0.152,18,69,126,121,122
7,6,333,0.111,37,47,39,68,142
8,0,299,0.09966666666666667,133,100,9,31,26
8,1,471,0.157,31,84,161,110,85
8,2,297,0.099,50,50,78,70,49
8,3,410,0.13666666666666666,16,61,112,111,110
8,4,594,0.198,84,174,134,113,89
8,5,333,0.111,17,69,54,67,126
8,6,259,0.08633333333333333,140,38,28,30,23
8,7,337,0.11233333333333333,129,24,24,68,92
9,0,379,0.12633333333333333,15,62,98,98,106
9,1,455,0.15166666666666667,48,60,132,123,92
9,2,456,0.152,65,164,99,68,60
9,3,215,0.07166666666666667,48,49,53,39,26
9,4,413,0.13766666666666666,25,66,142,103,77
9,5,302,0.10066666666666667,15,53,46,64,124
9,6,298,0.09933333333333333,136,100,7,31,24
9,7,289,0.09633333333333334,134,20,11,50,74
9,8,193,0.06433333333333334,114,26,12,24,17
10,0,342,0.114,23,76,57,63,123
10,1,282,0.094,131,18,12,46,75
10,2,338,0.11266666666666666,24,49,117,85,63
10,3,442,0.14733333333333334,40,52,134,116,100
10,4,449,0.14966666666666667,42,116,133,87,71
10,5,310,0.10333333333333333,94,121,15,47,33
10,6,186,0.062,96,53,6,18,13
10,7,294,0.098,15,48,63,80,88
10,8,188,0.06266666666666666,36,49,46,36,21
10,9,169,0.05633333333333333,99,18,17,22,13
11,0,312,0.104,23,84,45,57,103
11,1,195,0.065,37,45,48,40,25
11,2,443,0.14766666666666667,33,61,137,115,97
11,3,205,0.06833333333333333,37,14,21,47,86
11,4,205,0.06833333333333333,110,58,6,17,14
11,5,204,0.068,122,25,19,24,14
11,6,416,0.13866666666666666,24,92,141,87,72
11,7,279,0.093,22,40,95,70,52
11,8,302,0.10066666666666667,13,45,63,83,98
11,9,156,0.052,115,18,3,12,8
11,10,283,0.09433333333333334,64,118,22,48,31
12,0,273,0.091,18,42,89,76,48
12,1,184,0.06133333333333333,132,9,4,21,18
12,2,257,0.08566666666666667,11,40,59,58,89
12,3,346,0.11533333333333333,56,120,71,48,51
12,4,166,0.05533333333333333,28,47,43,30,18
12,5,230,0.07666666666666666,23,40,21,44,102
12,6,317,0.10566666666666667,19,27,136,73,62
12,7,241,0.08033333333333334,13,45,45,65,73
12,8,340,0.11333333333333333,34,41,87,97,81
12,9,172,0.05733333333333333,90,52,4,15,11
12,10,306,0.102,78,118,24,53,33
12,11,168,0.056,98,19,17,20,14
