representation,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,fit_time_sec,bic,lower_bound,converged,n_iter,n_nonempty_components,min_component_size,max_component_size,invalid_reason
raw_pixel,gmm,2,-0.005326186306774616,13.878498970099063,13.462664447300176,0.1798514999973122,449948.3301740665,-74.72356414794922,True,14,2,1200,1800,
raw_pixel,gmm,3,-0.05968707427382469,11.807063712384354,18.120718349136865,0.23359409999102354,448072.4182446882,-74.27637481689453,True,19,3,634,1438,
raw_pixel,gmm,4,-0.06746706366539001,13.720881685138307,14.194552743830535,0.35982870000589173,447531.52828796615,-74.05152130126953,True,35,4,327,1185,
raw_pixel,gmm,5,-0.10102146118879318,18.71285510450156,14.97321044401678,0.4698368999961531,447415.94655878324,-73.89764404296875,True,62,5,265,1192,
raw_pixel,gmm,6,-0.09456325322389603,35.7486604611654,10.563176059485752,0.3807827999989968,447733.59236866276,-73.81591796875,True,37,6,214,1121,
raw_pixel,gmm,7,-0.11990339308977127,23.082253687192704,12.99616297313465,0.524761499997112,447612.0597117455,-73.66080474853516,True,94,7,173,783,
raw_pixel,gmm,8,-0.13832436501979828,25.275487272692743,10.996580388270267,0.5452819000056479,447964.4955606875,-73.58476257324219,True,58,8,141,804,
raw_pixel,gmm,9,-0.15894301235675812,22.575586486315085,12.276130964657249,0.5916047000064282,448260.901136192,-73.49935150146484,True,60,9,107,722,
raw_pixel,gmm,10,-0.12635447084903717,51.569545750368334,7.92668598196362,0.6309861000045203,448767.2829079857,-73.44908142089844,True,58,10,18,879,
raw_pixel,gmm,11,-0.11050137132406235,47.929351149629625,7.740676543072049,0.5622372000070754,449261.67127157614,-73.39644622802734,True,57,11,120,590,
raw_pixel,gmm,12,-0.12049403786659241,44.863840543523786,8.555278794634328,0.6340205000014976,449482.4085121198,-73.29850769042969,True,58,12,10,622,
hsv_histogram,gmm,2,0.10706795006990433,33.09974680038795,8.618261772070442,0.14999590000661556,-510721.9273942929,85.38856506347656,True,7,2,893,2107,
hsv_histogram,gmm,3,-0.014189288020133972,30.78618249571528,8.259127944249427,0.32436639998923056,-520924.2400805071,87.22332763671875,True,33,3,432,1309,
hsv_histogram,gmm,4,0.01064237765967846,122.61555060899141,6.90165453677017,0.2512639000051422,-523594.1430987526,87.8033218383789,True,14,4,128,1325,
hsv_histogram,gmm,5,-0.0430477075278759,101.24844916153522,8.220673438516524,0.2594113999948604,-526989.7846423887,88.50341796875,True,23,5,131,1152,
hsv_histogram,gmm,6,-0.036736179143190384,123.87073058308876,8.161049075547421,0.4138424000120722,-529401.875160634,89.04032135009766,True,40,6,51,1151,
hsv_histogram,gmm,7,-0.03806232661008835,108.50706945245305,7.147475172533357,0.4170728000026429,-531559.677959153,89.53387451171875,True,33,7,48,904,
hsv_histogram,gmm,8,-0.046318359673023224,100.26344448113383,6.647615744731854,0.4350926999904914,-533200.9860066953,89.94349670410156,True,35,8,48,813,
hsv_histogram,gmm,9,-0.03415987640619278,113.66542332933716,6.654791502941959,0.45692050000070594,-534242.3489858783,90.25131225585938,True,35,9,48,685,
hsv_histogram,gmm,10,-0.035025473684072495,109.50749987617249,6.572068303725703,0.5447806999873137,-534940.9385275613,90.50301361083984,True,33,10,48,690,
hsv_histogram,gmm,11,-0.02052629552781582,114.89042157893398,4.602217825535026,0.5850902999954997,-535947.9234549863,90.80514526367188,True,36,11,48,680,
hsv_histogram,gmm,12,-0.017689025029540062,114.78723874731176,4.551386133693929,0.5876903999887872,-536545.8049888568,91.03929138183594,True,67,12,48,661,
hog,gmm,2,-0.009195669554173946,46.66999882496063,7.178138143191921,0.24668400001246482,144325.6533247012,-23.786911010742188,True,24,2,998,2002,
hog,gmm,3,-0.0010943852830678225,138.87583594183724,4.8365421621964755,0.2656081000022823,144534.7977002546,-23.686880111694336,True,22,3,777,1335,
hog,gmm,4,-0.0020942767150700092,120.55935843172743,4.6867330170188435,0.4023130999994464,144413.07049377673,-23.531776428222656,True,32,4,361,1321,
hog,gmm,5,-0.006783555261790752,102.13953773592111,4.994579813141305,0.37060480000218377,144717.69292719144,-23.447620391845703,True,23,5,327,953,
hog,gmm,6,-0.014352625235915184,80.44189412856088,4.859351942604658,0.43132499999774154,144896.0984721784,-23.342817306518555,True,38,6,78,1249,
hog,gmm,7,-0.01717928797006607,72.22458886338744,4.6698876847981055,0.4515934999944875,145211.93611555404,-23.260684967041016,True,52,7,79,1264,
hog,gmm,8,-0.00600948091596365,72.34570248901497,4.362969975987996,0.47822740000265185,145542.21620277734,-23.18104362487793,True,41,8,88,945,
hog,gmm,9,-0.014170140959322453,66.56371923189637,4.32396520955111,0.49067769999965094,145992.73936251042,-23.121238708496094,True,27,9,87,890,
hog,gmm,10,-0.02058417722582817,61.91370887792684,4.421322684279693,0.45534309999493416,146462.9692483177,-23.065032958984375,True,39,10,98,760,
hog,gmm,11,-0.023320253938436508,56.89067291344564,4.306265738797425,0.4958323000028031,146796.56812216208,-22.98573875427246,True,37,11,80,917,
hog,gmm,12,-0.01920345239341259,55.12998536283571,4.467410155479032,0.5002258000022266,147211.86636734437,-22.920333862304688,True,39,12,61,645,
