k,component,size,fraction,airplane,automobile,frog,cat,dog
2,0,998,0.33266666666666667,80,158,426,175,159
2,1,2002,0.6673333333333333,520,442,174,425,441
3,0,888,0.296,106,23,65,317,377
3,1,1335,0.445,460,509,124,142,100
3,2,777,0.259,34,68,411,141,123
4,0,704,0.23466666666666666,27,68,389,122,98
4,1,614,0.20466666666666666,27,2,32,239,314
4,2,361,0.12033333333333333,214,131,5,6,5
4,3,1321,0.44033333333333335,332,399,174,233,183
5,0,953,0.31766666666666665,248,179,143,217,166
5,1,327,0.109,195,116,4,7,5
5,2,491,0.16366666666666665,113,266,51,34,27
5,3,578,0.19266666666666668,25,2,32,223,296
5,4,651,0.217,19,37,370,119,106
6,0,1249,0.41633333333333333,248,346,219,238,198
6,1,310,0.10333333333333333,192,107,3,5,3
6,2,78,0.026,1,74,0,3,0
6,3,282,0.094,129,41,21,51,40
6,4,547,0.18233333333333332,18,2,28,217,282
6,5,534,0.178,12,30,329,86,77
7,0,100,0.03333333333333333,5,94,1,0,0
7,1,433,0.14433333333333334,13,1,18,173,228
7,2,485,0.16166666666666665,11,26,309,78,61
7,3,1264,0.42133333333333334,214,238,251,289,272
7,4,79,0.026333333333333334,1,75,0,3,0
7,5,285,0.095,142,39,17,51,36
7,6,354,0.118,214,127,4,6,3
8,0,945,0.315,255,158,147,209,176
8,1,88,0.029333333333333333,1,85,0,2,0
8,2,110,0.03666666666666667,8,100,1,1,0
8,3,364,0.12133333333333333,190,151,5,13,5
8,4,164,0.05466666666666667,4,0,5,67,88
8,5,136,0.04533333333333334,85,33,5,7,6
8,6,543,0.181,27,7,57,199,253
8,7,650,0.21666666666666667,30,66,380,102,72
9,0,131,0.043666666666666666,81,31,5,7,7
9,1,87,0.029,1,85,0,1,0
9,2,890,0.2966666666666667,258,133,126,203,170
9,3,464,0.15466666666666667,22,27,297,67,51
9,4,346,0.11533333333333333,187,143,3,10,3
9,5,280,0.09333333333333334,13,72,109,47,39
9,6,176,0.058666666666666666,3,0,8,71,94
9,7,510,0.17,26,6,50,193,235
9,8,116,0.03866666666666667,9,103,2,1,1
10,0,317,0.10566666666666667,172,19,37,48,41
10,1,429,0.143,26,37,243,72,51
10,2,341,0.11366666666666667,190,136,5,7,3
10,3,126,0.042,4,0,4,61,57
10,4,187,0.06233333333333333,5,14,126,19,23
10,5,112,0.037333333333333336,7,101,2,1,1
10,6,760,0.25333333333333335,89,165,136,204,166
10,7,494,0.16466666666666666,20,2,42,179,251
10,8,98,0.03266666666666666,2,94,0,2,0
10,9,136,0.04533333333333334,85,32,5,7,7
11,0,196,0.06533333333333333,151,37,2,6,0
11,1,481,0.16033333333333333,17,2,40,170,252
11,2,125,0.041666666666666664,76,31,4,7,7
11,3,379,0.12633333333333333,19,21,211,72,56
11,4,80,0.02666666666666667,1,75,0,3,1
11,5,917,0.30566666666666664,255,103,134,231,194
11,6,209,0.06966666666666667,54,134,5,10,6
11,7,118,0.03933333333333333,9,104,2,1,2
11,8,101,0.033666666666666664,4,0,2,53,42
11,9,209,0.06966666666666667,9,81,67,33,19
11,10,185,0.06166666666666667,5,12,133,14,21
12,0,152,0.050666666666666665,3,0,4,67,78
12,1,645,0.215,190,75,104,150,126
12,2,61,0.02033333333333333,0,56,5,0,0
12,3,407,0.13566666666666666,22,55,182,75,73
12,4,200,0.06666666666666667,158,37,1,3,1
12,5,119,0.03966666666666667,10,107,1,1,0
12,6,125,0.041666666666666664,71,30,7,10,7
12,7,292,0.09733333333333333,7,13,211,34,27
12,8,207,0.069,63,124,6,9,5
12,9,66,0.022,0,64,0,2,0
12,10,299,0.09966666666666667,61,36,40,94,68
12,11,427,0.14233333333333334,15,3,39,155,215
