k,component,size,fraction,airplane,automobile,frog,cat,dog
2,0,2107,0.7023333333333334,266,491,433,468,449
2,1,893,0.2976666666666667,334,109,167,132,151
3,0,1309,0.43633333333333335,242,253,288,238,288
3,1,432,0.144,230,40,53,60,49
3,2,1259,0.4196666666666667,128,307,259,302,263
4,0,378,0.126,202,32,47,52,45
4,1,128,0.042666666666666665,35,34,21,27,11
4,2,1169,0.38966666666666666,246,223,247,211,242
4,3,1325,0.44166666666666665,117,311,285,310,302
5,0,131,0.043666666666666666,36,35,21,28,11
5,1,182,0.06066666666666667,125,10,14,21,12
5,2,1152,0.384,177,256,238,224,257
5,3,874,0.29133333333333333,61,212,188,218,195
5,4,661,0.22033333333333333,201,87,139,109,125
6,0,1151,0.38366666666666666,170,256,237,231,257
6,1,99,0.033,26,31,21,14,7
6,2,827,0.27566666666666667,55,205,179,207,181
6,3,683,0.22766666666666666,197,91,146,112,137
6,4,189,0.063,127,13,15,21,13
6,5,51,0.017,25,4,2,15,5
7,0,904,0.30133333333333334,165,198,154,186,201
7,1,543,0.181,188,70,94,95,96
7,2,411,0.137,26,89,128,70,98
7,3,801,0.267,50,198,177,201,175
7,4,199,0.06633333333333333,124,12,24,21,18
7,5,48,0.016,22,4,3,14,5
7,6,94,0.03133333333333333,25,29,20,13,7
8,0,212,0.07066666666666667,130,13,24,26,19
8,1,94,0.03133333333333333,25,29,20,13,7
8,2,812,0.27066666666666667,53,198,175,206,180
8,3,813,0.271,157,168,139,170,179
8,4,494,0.16466666666666666,180,65,89,82,78
8,5,48,0.016,22,4,3,14,5
8,6,171,0.057,9,65,25,28,44
8,7,356,0.11866666666666667,24,58,125,61,88
9,0,94,0.03133333333333333,25,29,20,13,7
9,1,274,0.09133333333333334,8,9,111,69,77
9,2,212,0.07066666666666667,132,13,21,26,20
9,3,685,0.22833333333333333,48,181,142,171,143
9,4,48,0.016,22,4,3,14,5
9,5,173,0.057666666666666665,9,63,26,28,47
9,6,684,0.228,148,186,70,139,141
9,7,325,0.10833333333333334,20,48,123,55,79
9,8,505,0.16833333333333333,188,67,84,85,81
10,0,499,0.16633333333333333,181,63,88,87,80
10,1,322,0.10733333333333334,20,48,117,55,82
10,2,176,0.058666666666666666,10,65,26,28,47
10,3,676,0.22533333333333333,47,186,130,171,142
10,4,94,0.03133333333333333,25,29,20,13,7
10,5,48,0.016,22,4,3,14,5
10,6,163,0.05433333333333333,72,14,26,28,23
10,7,71,0.023666666666666666,66,4,1,0,0
10,8,261,0.087,5,7,120,58,71
10,9,690,0.23,152,180,69,146,143
11,0,680,0.22666666666666666,52,185,139,167,137
11,1,451,0.15033333333333335,48,157,44,104,98
11,2,155,0.051666666666666666,6,60,23,26,40
11,3,48,0.016,22,4,3,14,5
11,4,217,0.07233333333333333,14,21,106,26,50
11,5,462,0.154,162,62,80,82,76
11,6,167,0.05566666666666667,7,7,76,36,41
11,7,394,0.13133333333333333,144,63,46,67,74
11,8,92,0.030666666666666665,25,27,20,13,7
11,9,168,0.056,116,8,12,21,11
11,10,166,0.05533333333333333,4,6,51,44,61
12,0,169,0.05633333333333333,3,6,52,45,63
12,1,460,0.15333333333333332,46,161,44,108,101
12,2,380,0.12666666666666668,140,61,43,67,69
12,3,48,0.016,22,4,3,14,5
12,4,199,0.06633333333333333,10,17,103,24,45
12,5,143,0.04766666666666667,65,13,21,25,19
12,6,153,0.051,6,59,21,26,41
12,7,172,0.05733333333333333,8,8,78,38,40
12,8,88,0.029333333333333333,23,26,20,12,7
12,9,77,0.025666666666666667,73,3,1,0,0
12,10,450,0.15,154,61,80,80,75
12,11,661,0.22033333333333333,50,181,134,161,135
