representation,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,fit_time_sec,n_iter,n_nonempty_components,min_component_size,max_component_size,invalid_reason
raw_pixel,kmeans,2,0.2110266536474228,948.9371680049552,1.7024770452084517,0.2216924999956973,10,2,1210,1790,
raw_pixel,kmeans,3,0.12481638789176941,661.7897667611301,2.1825686707703524,0.1766250999935437,20,3,618,1282,
raw_pixel,kmeans,4,0.11875193566083908,535.5817022598469,2.1988939799459457,0.1909546999959275,20,4,557,926,
raw_pixel,kmeans,5,0.09075899422168732,443.5419614233926,2.373329099598275,0.26259280000522267,40,5,396,712,
raw_pixel,kmeans,6,0.08969283103942871,387.5174163185939,2.305652990151248,0.25394300000334624,26,6,311,719,
raw_pixel,kmeans,7,0.08767303824424744,344.2922439914244,2.3365028696166457,0.24564200000895653,39,7,284,606,
raw_pixel,kmeans,8,0.0864790827035904,311.48828025886723,2.3798432953007027,0.25282629999856,50,8,259,594,
raw_pixel,kmeans,9,0.07728028297424316,284.54318574394875,2.4040572138082204,0.27450349999708124,44,9,193,456,
raw_pixel,kmeans,10,0.07092341780662537,262.6321538340146,2.3534304946039537,0.2743044000089867,65,10,169,449,
raw_pixel,kmeans,11,0.0706072524189949,244.38033000689018,2.3542939093793613,0.29524839999794494,60,11,156,443,
raw_pixel,kmeans,12,0.0657786950469017,229.54106714752677,2.4178722004504194,0.2896937000041362,52,12,166,346,
hsv_histogram,kmeans,2,0.3600205183029175,539.2956617846152,1.1898445089125451,0.18930149999505375,4,2,215,2785,
hsv_histogram,kmeans,3,0.12778404355049133,489.37279496923105,1.9550619364330466,0.20027729999856092,35,3,193,1814,
hsv_histogram,kmeans,4,0.13376879692077637,433.39296731237863,1.9962721618517678,0.18264889999409206,13,4,191,1594,
hsv_histogram,kmeans,5,0.12424025684595108,392.4923492002727,1.9850253090388008,0.2141684000089299,23,5,177,1276,
hsv_histogram,kmeans,6,0.12945298850536346,365.3134574943171,1.8588304475786046,0.25663089999579825,64,6,74,1251,
hsv_histogram,kmeans,7,0.14105723798274994,347.374393735986,1.7623382853477285,0.22048620000714436,24,7,74,1233,
hsv_histogram,kmeans,8,0.13393189013004303,330.12508721895455,1.8313635781084563,0.23950490000424907,22,8,73,1056,
hsv_histogram,kmeans,9,0.13124001026153564,317.6332025801666,1.8252519044917983,0.24225490000389982,20,9,62,832,
hsv_histogram,kmeans,10,0.12554320693016052,301.61010690200726,1.9585827674367011,0.24184600000444334,36,10,61,544,
hsv_histogram,kmeans,11,0.12321128696203232,285.95140584825936,1.9671652700167053,0.26775679999263957,43,11,61,487,
hsv_histogram,kmeans,12,0.12222332507371902,271.3605824705742,1.9570961076659108,0.27734119999513496,39,12,60,518,
hog,kmeans,2,0.09250359982252121,295.1471723574715,3.0661749452617437,0.16404859999602195,13,2,1116,1884,
hog,kmeans,3,0.04492604732513428,197.914643179931,4.0266303009918,0.19345829999656416,16,3,791,1268,
hog,kmeans,4,0.04561920091509819,160.75680549759667,3.7372630973525003,0.22056820000580046,31,4,649,830,
hog,kmeans,5,0.04206056892871857,134.96563181379062,3.771883464076757,0.23458560000290163,51,5,434,781,
hog,kmeans,6,0.035271041095256805,117.69102519504351,3.9530187924882783,0.24577699998917524,49,6,354,677,
hog,kmeans,7,0.034004054963588715,104.54233417098021,3.9489671440501737,0.2560078000096837,48,7,281,579,
hog,kmeans,8,0.03158915415406227,95.10888700943916,3.768906381594042,0.26645550000830553,33,8,273,527,
hog,kmeans,9,0.03229738026857376,87.11154180560105,3.8292963014643604,0.25922010000795126,53,9,227,514,
hog,kmeans,10,0.028291473165154457,80.6775329640944,3.833960210590894,0.28912459999264684,38,10,196,479,
hog,kmeans,11,0.029776303097605705,75.60099179399862,3.780157317859187,0.26490100000228267,52,11,162,370,
hog,kmeans,12,0.029439572244882584,70.78929041769165,3.770173603353397,0.29581169999437407,66,12,160,333,
