representation,k,silhouette_kmeans,calinski_harabasz_kmeans,davies_bouldin_kmeans,fit_time_sec_kmeans,silhouette_gmm,calinski_harabasz_gmm,davies_bouldin_gmm,fit_time_sec_gmm,gmm_converged,gmm_n_nonempty_components,gmm_invalid_reason,gmm_formal_candidate
raw_pixel,2,0.2110266536474228,948.9371680049552,1.7024770452084517,0.2216924999956973,-0.005326186306774616,13.878498970099063,13.462664447300176,0.1798514999973122,True,2,,True
raw_pixel,3,0.12481638789176941,661.7897667611301,2.1825686707703524,0.1766250999935437,-0.05968707427382469,11.807063712384354,18.120718349136865,0.23359409999102354,True,3,,True
raw_pixel,4,0.11875193566083908,535.5817022598469,2.1988939799459457,0.1909546999959275,-0.06746706366539001,13.720881685138307,14.194552743830535,0.35982870000589173,True,4,,True
raw_pixel,5,0.09075899422168732,443.5419614233926,2.373329099598275,0.26259280000522267,-0.10102146118879318,18.71285510450156,14.97321044401678,0.4698368999961531,True,5,,True
raw_pixel,6,0.08969283103942871,387.5174163185939,2.305652990151248,0.25394300000334624,-0.09456325322389603,35.7486604611654,10.563176059485752,0.3807827999989968,True,6,,True
raw_pixel,7,0.08767303824424744,344.2922439914244,2.3365028696166457,0.24564200000895653,-0.11990339308977127,23.082253687192704,12.99616297313465,0.524761499997112,True,7,,True
raw_pixel,8,0.0864790827035904,311.48828025886723,2.3798432953007027,0.25282629999856,-0.13832436501979828,25.275487272692743,10.996580388270267,0.5452819000056479,True,8,,True
raw_pixel,9,0.07728028297424316,284.54318574394875,2.4040572138082204,0.27450349999708124,-0.15894301235675812,22.575586486315085,12.276130964657249,0.5916047000064282,True,9,,True
raw_pixel,10,0.07092341780662537,262.6321538340146,2.3534304946039537,0.2743044000089867,-0.12635447084903717,51.569545750368334,7.92668598196362,0.6309861000045203,True,10,,True
raw_pixel,11,0.0706072524189949,244.38033000689018,2.3542939093793613,0.29524839999794494,-0.11050137132406235,47.929351149629625,7.740676543072049,0.5622372000070754,True,11,,True
raw_pixel,12,0.0657786950469017,229.54106714752677,2.4178722004504194,0.2896937000041362,-0.12049403786659241,44.863840543523786,8.555278794634328,0.6340205000014976,True,12,,True
hsv_histogram,2,0.3600205183029175,539.2956617846152,1.1898445089125451,0.18930149999505375,0.10706795006990433,33.09974680038795,8.618261772070442,0.14999590000661556,True,2,,True
hsv_histogram,3,0.12778404355049133,489.37279496923105,1.9550619364330466,0.20027729999856092,-0.014189288020133972,30.78618249571528,8.259127944249427,0.32436639998923056,True,3,,True
hsv_histogram,4,0.13376879692077637,433.39296731237863,1.9962721618517678,0.18264889999409206,0.01064237765967846,122.61555060899141,6.90165453677017,0.2512639000051422,True,4,,True
hsv_histogram,5,0.12424025684595108,392.4923492002727,1.9850253090388008,0.2141684000089299,-0.0430477075278759,101.24844916153522,8.220673438516524,0.2594113999948604,True,5,,True
hsv_histogram,6,0.12945298850536346,365.3134574943171,1.8588304475786046,0.25663089999579825,-0.036736179143190384,123.87073058308876,8.161049075547421,0.4138424000120722,True,6,,True
hsv_histogram,7,0.14105723798274994,347.374393735986,1.7623382853477285,0.22048620000714436,-0.03806232661008835,108.50706945245305,7.147475172533357,0.4170728000026429,True,7,,True
hsv_histogram,8,0.13393189013004303,330.12508721895455,1.8313635781084563,0.23950490000424907,-0.046318359673023224,100.26344448113383,6.647615744731854,0.4350926999904914,True,8,,True
hsv_histogram,9,0.13124001026153564,317.6332025801666,1.8252519044917983,0.24225490000389982,-0.03415987640619278,113.66542332933716,6.654791502941959,0.45692050000070594,True,9,,True
hsv_histogram,10,0.12554320693016052,301.61010690200726,1.9585827674367011,0.24184600000444334,-0.035025473684072495,109.50749987617249,6.572068303725703,0.5447806999873137,True,10,,True
hsv_histogram,11,0.12321128696203232,285.95140584825936,1.9671652700167053,0.26775679999263957,-0.02052629552781582,114.89042157893398,4.602217825535026,0.5850902999954997,True,11,,True
hsv_histogram,12,0.12222332507371902,271.3605824705742,1.9570961076659108,0.27734119999513496,-0.017689025029540062,114.78723874731176,4.551386133693929,0.5876903999887872,True,12,,True
hog,2,0.09250359982252121,295.1471723574715,3.0661749452617437,0.16404859999602195,-0.009195669554173946,46.66999882496063,7.178138143191921,0.24668400001246482,True,2,,True
hog,3,0.04492604732513428,197.914643179931,4.0266303009918,0.19345829999656416,-0.0010943852830678225,138.87583594183724,4.8365421621964755,0.2656081000022823,True,3,,True
hog,4,0.04561920091509819,160.75680549759667,3.7372630973525003,0.22056820000580046,-0.0020942767150700092,120.55935843172743,4.6867330170188435,0.4023130999994464,True,4,,True
hog,5,0.04206056892871857,134.96563181379062,3.771883464076757,0.23458560000290163,-0.006783555261790752,102.13953773592111,4.994579813141305,0.37060480000218377,True,5,,True
hog,6,0.035271041095256805,117.69102519504351,3.9530187924882783,0.24577699998917524,-0.014352625235915184,80.44189412856088,4.859351942604658,0.43132499999774154,True,6,,True
hog,7,0.034004054963588715,104.54233417098021,3.9489671440501737,0.2560078000096837,-0.01717928797006607,72.22458886338744,4.6698876847981055,0.4515934999944875,True,7,,True
hog,8,0.03158915415406227,95.10888700943916,3.768906381594042,0.26645550000830553,-0.00600948091596365,72.34570248901497,4.362969975987996,0.47822740000265185,True,8,,True
hog,9,0.03229738026857376,87.11154180560105,3.8292963014643604,0.25922010000795126,-0.014170140959322453,66.56371923189637,4.32396520955111,0.49067769999965094,True,9,,True
hog,10,0.028291473165154457,80.6775329640944,3.833960210590894,0.28912459999264684,-0.02058417722582817,61.91370887792684,4.421322684279693,0.45534309999493416,True,10,,True
hog,11,0.029776303097605705,75.60099179399862,3.780157317859187,0.26490100000228267,-0.023320253938436508,56.89067291344564,4.306265738797425,0.4958323000028031,True,11,,True
