k,component,size,fraction,airplane,automobile,frog,cat,dog
2,0,1800,0.6,267,506,199,410,418
2,1,1200,0.4,333,94,401,190,182
3,0,928,0.30933333333333335,124,289,69,225,221
3,1,634,0.21133333333333335,213,13,249,89,70
3,2,1438,0.47933333333333333,263,298,282,286,309
4,0,1185,0.395,223,237,230,241,254
4,1,587,0.19566666666666666,201,12,234,79,61
4,2,901,0.30033333333333334,118,274,69,221,219
4,3,327,0.109,58,77,67,59,66
5,0,265,0.08833333333333333,79,2,135,26,23
5,1,1192,0.3973333333333333,186,346,123,260,277
5,2,563,0.18766666666666668,231,56,102,87,87
5,3,557,0.18566666666666667,55,70,205,116,111
5,4,423,0.141,49,126,35,111,102
6,0,527,0.17566666666666667,223,44,100,81,79
6,1,1121,0.37366666666666665,197,308,138,235,243
6,2,234,0.078,71,1,121,20,21
6,3,516,0.172,48,64,195,110,99
6,4,388,0.12933333333333333,35,91,19,111,132
6,5,214,0.07133333333333333,26,92,27,43,26
7,0,437,0.14566666666666667,208,33,70,62,64
7,1,783,0.261,84,147,154,207,191
7,2,173,0.057666666666666665,61,0,83,12,17
7,3,562,0.18733333333333332,61,141,53,156,151
7,4,273,0.091,16,13,175,42,27
7,5,425,0.14166666666666666,109,146,25,65,80
7,6,347,0.11566666666666667,61,120,40,56,70
8,0,286,0.09533333333333334,46,67,68,45,60
8,1,335,0.11166666666666666,83,115,19,48,70
8,2,165,0.055,125,5,11,6,18
8,3,804,0.268,101,209,79,220,195
8,4,264,0.088,26,82,24,66,66
8,5,730,0.24333333333333335,94,98,197,170,171
8,6,141,0.047,102,21,8,7,3
8,7,275,0.09166666666666666,23,3,194,38,17
9,0,280,0.09333333333333334,34,87,26,57,76
9,1,128,0.042666666666666665,99,14,6,5,4
9,2,107,0.035666666666666666,91,4,7,2,3
9,3,169,0.05633333333333333,20,1,115,17,16
9,4,722,0.24066666666666667,77,163,116,198,168
9,5,508,0.16933333333333334,98,34,155,118,103
9,6,273,0.091,34,41,115,35,48
9,7,397,0.13233333333333333,44,118,32,104,99
9,8,416,0.13866666666666666,103,138,28,64,83
10,0,256,0.08533333333333333,22,86,14,59,75
10,1,141,0.047,84,2,37,4,14
10,2,879,0.293,96,269,115,183,216
10,3,490,0.16333333333333333,79,42,120,127,122
10,4,263,0.08766666666666667,22,5,180,39,17
10,5,196,0.06533333333333333,146,17,12,10,11
10,6,18,0.006,1,17,0,0,0
10,7,288,0.096,44,56,71,54,63
10,8,361,0.12033333333333333,54,79,46,108,74
10,9,108,0.036,52,27,5,16,8
11,0,266,0.08866666666666667,36,53,69,47,61
11,1,155,0.051666666666666666,19,65,15,37,19
11,2,152,0.050666666666666665,10,32,9,44,57
11,3,277,0.09233333333333334,24,5,185,43,20
11,4,253,0.08433333333333333,29,158,22,18,26
11,5,221,0.07366666666666667,76,56,12,39,38
11,6,590,0.19666666666666666,81,63,148,147,151
11,7,120,0.04,65,0,38,4,13
11,8,318,0.106,18,55,27,102,116
11,9,222,0.074,162,17,14,17,12
11,10,426,0.142,80,96,61,102,87
12,0,191,0.06366666666666666,141,9,16,14,11
12,1,180,0.06,35,0,111,18,16
12,2,260,0.08666666666666667,6,51,42,80,81
12,3,238,0.07933333333333334,27,22,129,32,28
12,4,483,0.161,76,39,150,109,109
12,5,118,0.03933333333333333,87,25,3,0,3
12,6,114,0.038,54,38,3,13,6
12,7,237,0.079,25,70,23,61,58
12,8,326,0.10866666666666666,34,152,37,36,67
12,9,622,0.20733333333333334,95,116,68,179,164
12,10,221,0.07366666666666667,20,68,18,58,57
12,11,10,0.0033333333333333335,0,10,0,0,0
